EventName,DeviceIDHash,EventTimestamp,ExpId
MainScreenAppear,4575588528974610257,1564029816,246
MainScreenAppear,7416695313311560658,1564053102,246
PaymentScreenSuccessful,3518123091307005509,1564054127,248
CartScreenAppear,3518123091307005509,1564054127,248
PaymentScreenSuccessful,6217807653094995999,1564055322,248
CartScreenAppear,6217807653094995999,1564055323,248
OffersScreenAppear,8351860793733343758,1564066242,246
MainScreenAppear,5682100281902512875,1564085677,246
MainScreenAppear,1850981295691852772,1564086702,247
MainScreenAppear,5407636962369102641,1564112112,246
MainScreenAppear,948465712512390382,1564119214,247
MainScreenAppear,2547684315586332355,1564123826,248
MainScreenAppear,8885295911290764495,1564124085,248
MainScreenAppear,2140904690380565988,1564125732,247
MainScreenAppear,4444236400320272864,1564135560,246
MainScreenAppear,8947220251154009657,1564140668,248
MainScreenAppear,5839517684026830712,1564141421,247
MainScreenAppear,7540130374989658208,1564144283,248
CartScreenAppear,2575393697599976818,1564148945,247
MainScreenAppear,4651149533106703820,1564149866,246
OffersScreenAppear,4651149533106703820,1564149871,246
CartScreenAppear,4651149533106703820,1564149877,246
OffersScreenAppear,4651149533106703820,1564149894,246
MainScreenAppear,8295497290010115455,1564151349,248
MainScreenAppear,2467684065904615242,1564155133,247
CartScreenAppear,5325250209390272889,1564158298,246
OffersScreenAppear,2029140728621466572,1564160796,246
CartScreenAppear,2029140728621466572,1564160801,246
PaymentScreenSuccessful,2029140728621466572,1564160801,246
Tutorial,6598157157289930061,1564164239,247
Tutorial,6598157157289930061,1564164247,247
OffersScreenAppear,4917023139263453733,1564164336,247
MainScreenAppear,7746900626563870083,1564165246,248
MainScreenAppear,6587858566581626601,1564165926,246
MainScreenAppear,6587858566581626601,1564165934,246
PaymentScreenSuccessful,746235405686708560,1564170266,248
CartScreenAppear,746235405686708560,1564170266,248
CartScreenAppear,6805714022805866600,1564170267,246
PaymentScreenSuccessful,6805714022805866600,1564170267,246
MainScreenAppear,4363366562103092326,1564185410,248
MainScreenAppear,4856890444852090984,1564200928,246
MainScreenAppear,2470999879924103731,1564209212,247
PaymentScreenSuccessful,6075091495307260046,1564209665,246
CartScreenAppear,6075091495307260046,1564209665,246
MainScreenAppear,2040085853213296046,1564210468,248
MainScreenAppear,3288659580761907806,1564215790,247
OffersScreenAppear,2039979342104336040,1564216058,247
MainScreenAppear,5638851536233149647,1564216100,248
MainScreenAppear,4827775328614831155,1564217124,247
MainScreenAppear,4827775328614831155,1564217125,247
CartScreenAppear,1877880950237790633,1564217618,246
MainScreenAppear,1877880950237790633,1564217619,246
OffersScreenAppear,1877880950237790633,1564217647,246
MainScreenAppear,663316212994735390,1564217700,246
CartScreenAppear,1880319123864140842,1564221606,247
MainScreenAppear,1880319123864140842,1564221606,247
MainScreenAppear,1857497950491328454,1564222367,246
MainScreenAppear,7684943637852660099,1564223123,246
MainScreenAppear,1410689169177282058,1564223274,246
Tutorial,1410689169177282058,1564223286,246
MainScreenAppear,1410689169177282058,1564223290,246
MainScreenAppear,1410689169177282058,1564223310,246
MainScreenAppear,1410689169177282058,1564223311,246
MainScreenAppear,1410689169177282058,1564223312,246
MainScreenAppear,7121064567474328144,1564224403,248
MainScreenAppear,1410689169177282058,1564224774,246
MainScreenAppear,6097570157412345536,1564224857,248
OffersScreenAppear,5333260976632130785,1564225627,246
MainScreenAppear,3544085356884362414,1564228930,247
MainScreenAppear,1034477367567772443,1564232131,246
MainScreenAppear,4432437748631167125,1564233067,247
MainScreenAppear,2088762857561440959,1564236308,247
MainScreenAppear,2097351145706278887,1564237716,247
MainScreenAppear,2835790235927186969,1564237853,246
MainScreenAppear,4595859422077715633,1564238391,248
MainScreenAppear,8039133903955652950,1564242521,247
MainScreenAppear,8039133903955652950,1564242528,247
OffersScreenAppear,7851137947039862735,1564244484,246
OffersScreenAppear,2862153300066037949,1564244811,247
MainScreenAppear,3459903299997081409,1564245643,248
MainScreenAppear,4171803676862750023,1564246550,247
OffersScreenAppear,4171803676862750023,1564246552,247
OffersScreenAppear,5135530637257941047,1564247108,247
MainScreenAppear,2271703761362823687,1564249078,246
MainScreenAppear,2271703761362823687,1564249080,246
MainScreenAppear,5711954728455817973,1564249588,246
OffersScreenAppear,4104516806157656680,1564249821,248
Tutorial,2380401036382252064,1564249835,247
MainScreenAppear,6008329708716058187,1564250582,246
CartScreenAppear,2793988848638831992,1564252141,247
MainScreenAppear,2793988848638831992,1564252142,247
OffersScreenAppear,4284716907364183621,1564253762,247
MainScreenAppear,5218365729556903805,1564255514,247
MainScreenAppear,5218365729556903805,1564255522,247
MainScreenAppear,9134757032322342404,1564270549,248
MainScreenAppear,4250844148628394486,1564280028,246
MainScreenAppear,2640074586197465474,1564288472,248
CartScreenAppear,2640074586197465474,1564288475,248
MainScreenAppear,2640074586197465474,1564288475,248
OffersScreenAppear,2640074586197465474,1564288480,248
